goos: linux
goarch: amd64
pkg: project/benchmark
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkAESASCONEncrypt/AES-GCM/16384B-4      	   47056	    128173 ns/op	 127.83 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16384B-4      	   46898	    127505 ns/op	 128.50 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16384B-4      	   47780	    128725 ns/op	 127.28 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16384B-4      	   45907	    128639 ns/op	 127.36 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16384B-4      	   47103	    127927 ns/op	 128.07 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/AES-GCM/16384B-4      	   47628	    128595 ns/op	 127.41 MB/s	        28.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16384B-4        	   83746	     69360 ns/op	 236.22 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16384B-4        	   89173	     68570 ns/op	 238.94 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16384B-4        	   85412	     69570 ns/op	 235.50 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16384B-4        	   88970	     67926 ns/op	 241.20 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16384B-4        	   86859	     68027 ns/op	 240.85 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16384B-4        	   90136	     67683 ns/op	 242.07 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16384B-4        	   89128	     66864 ns/op	 245.04 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
BenchmarkAESASCONEncrypt/ASCON/16384B-4        	   88522	     68138 ns/op	 240.45 MB/s	        32.00 wire_overhead_bytes/op	       0 B/op	       0 allocs/op
