goos: linux
goarch: arm64
pkg: project/benchmark
BenchmarkEnvelopeDeserialize/CBOR/2Attrs-4       	  578265	     10329 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/2Attrs-4       	  572095	     10244 ns/op	      3055 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/2Attrs-4         	  651087	      9173 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/2Attrs-4         	  646449	      9084 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/2Attrs-4         	  628830	      9102 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/2Attrs-4         	  621844	      9133 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/2Attrs-4         	  622958	      9090 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/2Attrs-4         	  641950	      9140 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/2Attrs-4         	  631498	      9079 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/2Attrs-4         	  625960	      9217 ns/op	      3024 envelope_bytes/op	      3013 raw_bytes/op	         0 throttled
PASS
goos: linux
goarch: arm64
pkg: project/benchmark
BenchmarkEnvelopeSerialize/JSON/5Attrs-4         	  125236	     47603 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/5Attrs-4         	  125974	     47347 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/5Attrs-4         	  126152	     47118 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/5Attrs-4         	  126298	     47152 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/5Attrs-4         	  124574	     47240 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/5Attrs-4         	  126199	     47255 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/5Attrs-4         	  126907	     47129 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/5Attrs-4         	  126391	     47302 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/5Attrs-4         	  521004	     11192 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/5Attrs-4         	  520644	     11305 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/5Attrs-4         	  533106	     11191 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/5Attrs-4         	  531072	     11195 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
